t,mean_arrivals_per_hour,mean_iat,,
0,3.7,16.2162162162162,5.55,10.8108108108108
60,3.2,18.75,4.8,12.5
120,2.4,25,3.6,16.6666666666667
180,2.3,26.0869565217391,3.45,17.3913043478261
240,2,30,3,20
300,2.2,27.2727272727273,3.3,18.1818181818182
360,2,30,3,20
420,2.5,24,3.75,16
480,3.9,15.3846153846154,5.85,10.2564102564103
540,6,10,9,6.66666666666667
600,7,8.57142857142857,10.5,5.71428571428571
660,7.3,8.21917808219178,10.95,5.47945205479452
720,7.4,8.10810810810811,11.1,5.4054054054054
780,6.9,8.69565217391304,10.35,5.79710144927536
840,6.5,9.23076923076923,9.75,6.15384615384615
900,6.5,9.23076923076923,9.75,6.15384615384615
960,6.3,9.52380952380952,9.45,6.34920634920635
1020,6.2,9.67741935483871,9.3,6.45161290322581
1080,6.7,8.95522388059701,10.05,5.97014925373134
1140,6.6,9.09090909090909,9.9,6.06060606060606
1200,6.3,9.52380952380952,9.45,6.34920634920635
1260,6,10,9,6.66666666666667
1320,5.7,10.5263157894737,8.55,7.01754385964912
1380,4.4,13.6363636363636,6.6,9.09090909090909
,120,,180,0.333333333333333
,,,1.5,40
